"code","uri","dataset_code","label_en","label_fr","definition_en","definition_fr"
"EL",NA,"CE","Electronic monitoring","Suivi électronique","Catch and effort data monitored through electronic means (e.g., video system, etc.)","Prises et efforts suivis par des moyens électroniques (systèmes vidéo, etc.)"
"LG",NA,"CE","Logbook","Livre de bord","Catch and effort data derived from logbooks completed onboard by the captain/fishing master of the ship (detailed data)","Prises et efforts saisis à bord sur les fiches de pêche par le capitaine ou le patron de pêche (données détaillées)"
"OB",NA,"CE","Observer","Observateurs","Catch and effort data collected by scientific observers","Prises et efforts recueillis par des observateurs scientifiques"
"RS",NA,"CE","Landing survey","Enquête débarquement","Catch and effort data collected at the landing place by staff from research institutions (sampling survey or total enumeration)","Prises et efforts recueillis sur les sites de débarquement par du personnel d’institutions de recherche (échantillonnages ou dénombrement total)"
"TR",NA,"CE","Interview","Entretien","Catch and effort data obtained through interviews with the skipper or other crew members, conducted at the end of the fishing trip","Prises et efforts obtenues par le biais d'entretiens avec le capitaine ou d'autres membres de l'équipage, menés à la fin de la marée"
"UN",NA,"CE","Unknown","Inconnu","Amounts unknown; fully estimated","Inconnu; Entièrement estimé"
"EL",NA,"DI","Electronic monitoring","Suivi électronique","Discard levels monitored through electronic means (e.g., video system, etc.)","Niveaux de rejets estimés par des moyens électroniques (systèmes vidéo, etc.)"
"LG",NA,"DI","Logbook","Livre de bord","Discard levels monitored by the vessel skipper / fishing master (logbook)","Niveaux de rejets estimés par le capitaine du navire ou le patron de pêche (livres de bord)"
"OB",NA,"DI","Observer","Observateurs","Discard levels monitored by scientific observers","Niveaux de rejets estimés par des observateurs scientifiques"
"TR",NA,"DI","Interview","Entretien","Discard levels derived from interviews completed at the end of each trip by the captain / fishing master of the ship (aggregated data)","Niveaux de rejets provenant d’entretiens réalisés à la fin de chaque marée avec le capitaine ou le patron de pêche (données agrégées)"
"UN",NA,"DI","Unknown","Inconnu","Amounts unknown; fully estimated","Inconnu; Entièrement estimé"
"EL",NA,"FA","Electronic monitoring","Suivi électronique","Catch and effort data monitored through electronic means (e.g., video system, etc.)","Prises et efforts suivis par des moyens électroniques (systèmes vidéo, etc.)"
"LG",NA,"FA","Logbook","Livre de bord","Catch and effort data derived from logbooks completed onboard by the captain/fishing master of the ship (detailed data)","Prises et efforts saisis à bord sur les fiches de pêche par le capitaine ou le patron de pêche (données détaillées)"
"OB",NA,"FA","Observer","Observateurs","Catch and effort data collected by scientific observers","Prises et efforts recueillis par des observateurs scientifiques"
